Threat_ShortTitle,Threat_Category,Threat_Description,Candidate_62443_ID,MappingBasis,RuleClassesHit,62443_ID,IEC_Title,IEC_Description
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.1 RE (1),Rule(Title/Description),authn_spoofing,CR 1.1 RE (1),Unique identification and authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.1 RE (2),Rule(Title/Description),authn_spoofing,CR 1.1 RE (2),Multifactor authentication for all interfaces,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.14,Rule(Title/Description),authn_spoofing,CR 1.14,Strength of symmetric key-based authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.14 RE (1),Rule(Title/Description),authn_spoofing,CR 1.14 RE (1),Hardware security for symmetric key-based authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.2,Rule(Title/Description),authn_spoofing,CR 1.2,Software process and device identification and authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.2 RE (1),Rule(Title/Description),authn_spoofing,CR 1.2 RE (1),Unique identification and authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.7,Rule(Title/Description),authn_spoofing,CR 1.7,Strength of password-based authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.9,Rule(Title/Description),authn_spoofing,CR 1.9,Strength of public key-based authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.9 RE (1),Rule(Title/Description),authn_spoofing,CR 1.9 RE (1),Hardware security for public key-based authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 3.1 RE (1),Rule(Title/Description),authn_spoofing,CR 3.1 RE (1),Communication authentication,3
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,FR 1,Rule(Title/Description),authn_spoofing,FR 1,Identification and authentication control (IAC),1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,NDR 1.6 RE (1),Rule(Title/Description),authn_spoofing,NDR 1.6 RE (1),Unique identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.1,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.1,Human user identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.1 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.1 RE (1),Unique identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.1 RE (2),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.1 RE (2),Multifactor authentication for all interfaces,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.14,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.14,Strength of symmetric key-based authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.14 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.14 RE (1),Hardware security for symmetric key-based authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.2,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.2,Software process and device identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.2 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.2 RE (1),Unique identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.5,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.5,Authenticator management,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.7,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.7,Strength of password-based authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.7 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.7 RE (1),Password generation and lifetime restrictions for human users,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.7 RE (2),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.7 RE (2),"Password lifetime restrictions for all users (human, software process, or device)",1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.9,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.9,Strength of public key-based authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 1.9 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 1.9 RE (1),Hardware security for public key-based authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 2.11 RE (2),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 2.11 RE (2),Protection of time source integrity,2
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 3.1,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 3.1,Communication integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 3.1 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 3.1 RE (1),Communication authentication,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 3.4,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 3.4,Software and information integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 3.4 RE (2),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 3.4 RE (2),Automated notification of integrity violations,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 3.8,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 3.8,Session integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",CR 7.3 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",CR 7.3 RE (1),Backup integrity verification,7
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",EDR 3.10 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",EDR 3.10 RE (1),Update authenticity and integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",EDR 3.14,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",EDR 3.14,Integrity of the boot process,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",FR 1,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",FR 1,Identification and authentication control (IAC),1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",FR 3,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",FR 3,System integrity (SI),3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",HDR 3.10 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",HDR 3.10 RE (1),Update authenticity and integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",HDR 3.14,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",HDR 3.14,Integrity of the boot process,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",NDR 1.6 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",NDR 1.6 RE (1),Unique identification and authentication,1
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",NDR 3.10 RE (1),Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",NDR 3.10 RE (1),Update authenticity and integrity,3
SSH Spoofing {source.Name},S,"{source.Name} may be spoofed by an attacker and this may lead to unauthorized access to {target.Name}. Authentication of SSH clients is no stronger than the integrity of credentials.  Consider using two factor authentication for human users, and take precautions to securely store private keys for device to device connections.  Avoid use of passwords for device-to-device connections.",NDR 3.14,Rule(Title/Description),"replay_integrity_transit,authn_spoofing,credential_storage_transit",NDR 3.14,Integrity of the boot process,3
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.1,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.1,Human user identification and authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.1 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.1 RE (1),Unique identification and authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.1 RE (2),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.1 RE (2),Multifactor authentication for all interfaces,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.14,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.14,Strength of symmetric key-based authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.14 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.14 RE (1),Hardware security for symmetric key-based authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.2,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.2,Software process and device identification and authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.2 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.2 RE (1),Unique identification and authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.5,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.5,Authenticator management,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.7,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.7,Strength of password-based authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.7 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.7 RE (1),Password generation and lifetime restrictions for human users,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.7 RE (2),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.7 RE (2),"Password lifetime restrictions for all users (human, software process, or device)",1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.9,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.9,Strength of public key-based authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 1.9 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 1.9 RE (1),Hardware security for public key-based authentication,1
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.10,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.10,Response to audit processing failures,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.12,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.12,Non-repudiation,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.12 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.12 RE (1),Non-repudiation for all users,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.8,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.8,Auditable events,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.9,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.9,Audit storage capacity,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 2.9 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 2.9 RE (1),Warn when audit record storage capacity threshold reached,2
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 3.1 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 3.1 RE (1),Communication authentication,3
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 3.9,Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 3.9,Protection of audit information,3
LDAP Spoofing {target.Name},S,"{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  LDAP clients do not authenticate the server (unless using LDAPS, and checking the certificate).  Server spoofing could allow unauthorized individuals to log in to a medical device or to intercept and view user credentials.  Suggest using LDAPS with full certificate checking.",CR 3.9 RE (1),Rule(Title/Description),"authn_spoofing,logging_repudiation,credential_storage_transit",CR 3.9 RE (1),Audit records on write-once media,3
