Threat_ShortTitle,Threat_Category,Threat_Description,SL1 Req,SL2 Req,SL3 Req,SL4 Req,PCyA allocated to ,Tool shall Compare with
Communicating with a Medical Component across a trust boundary,7aa66497-ce96-4295-b2cc-ef556daf0c13,"Due to inherent safety risks associated with medical components, it is strongly recommended that communications should stay within the same zone of trust.  Consider whether there are safety risks relating to {flow.Name} that should be addressed in the RAC [safety risk process]",Check Manually,Check Manually,Check Manually,Check Manually,,
Image Detector Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{target.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1) An attacker could tamper with sensitivity settings on  {target.Name} thereby causing poor images and/or a larger radiation dose 2) An attacker could tamper with the settings of {target.Name} to report bad pixels that are actually valid pixels, thereby reducing quality of the image and potentially contributing to misdiagnosis",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} has inappropriate connection,7aa66497-ce96-4295-b2cc-ef556daf0c13,Emergency stops must not accept incoming data.  The only acceptable architectural solution is to hardwire the button directly to circuitry which will control the shutdown sequence.,Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} using wireless,7aa66497-ce96-4295-b2cc-ef556daf0c13,Emergency stops must not communicate over wireless.  The only acceptable architectural solution is to hardwire the button directly to circuitry which will control the shutdown sequence.,Check Manually,Check Manually,Check Manually,Check Manually,,
Sensor Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{target.Name} may have patient safety related aspects.  Consider whether the following item should be addressed by the RAC [safety risk process]: An attacker may reconfigure or spoof a sensor, causing downstream impacts to the rest of the medical device, potentially leading to inaccurate medical decisions and/or unsafe activation of physical component",Check Manually,Check Manually,Check Manually,Check Manually,,
Emergency Stop Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"{source.Name} may have patient safety related aspects.  Consider whether the following item should be addressed by the RAC [safety risk process]: 1) There are well-known cases in which emergency stop buttons have been disabled due to deliberate tampering.  Recommend including mitigations such as a built-in self-test of emergency shutdown mechanisms or in cases where it would be suitable, a backup e-stop. 2) Accidental or intentional use of {source.Name} can prevent usage of medically necessary equipment.",Check Manually,Check Manually,Check Manually,Check Manually,,
Safety Interlock Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,{source.Name} may have patient safety related aspects.  Consider whether the following items should be addressed by the RAC [safety risk process]: 1) Physical tampering could result in activating the medical device while an unsafe condition exists 2) Unable to begin medical procedure because the interlock  is reporting inaccurate data.,Check Manually,Check Manually,Check Manually,Check Manually,,
PACS Safety Aspects,7aa66497-ce96-4295-b2cc-ef556daf0c13,"Consider whether the following items should be addressed by the RAC [safety risk process]: 1) Tampering with data stored on a PACS could result incorrect medical record content thereby resulting in misdiagnosis, incorrect treatment, etc. Using cryptographic signing to prevent out-of-band tampering with medical data is recommended.  2) Disabling the PACS would be a prime target for an attacker with malicious intent.  A non-functional PACS could prevent clinicians from seeing necessary images in a timely fashion.",Check Manually,Check Manually,Check Manually,Check Manually,,
Integrity of data transmitted from {source.Name} to {target.Name},7aa66497-ce96-4295-b2cc-ef556daf0c13,Consider whether the following item should be addressed by the RAC [safety risk process]:  Malicious tampering with PHI sent between the {source.Name} and {target.Name} could lead to misdiagnosis or other inappropriate medical actions.   Recommend using a data flow type that will to ensure the integrity of the data transmitted.,Check Manually,Check Manually,Check Manually,Check Manually,,
DICOM tampering safety,7aa66497-ce96-4295-b2cc-ef556daf0c13,Consider whether the following item should be addressed by the RAC [safety risk process]: Using unencrypted DICOM would make it possible for an attacker to tamper with images to reverse Right and Left or otherwise modify the image to intentionally bring harm to patients.,Check Manually,Check Manually,Check Manually,Check Manually,,
Lower Trusted Subject Updates Logs,R,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.",CR 6.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Data Logs from an Unknown Source,R,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,CR 6.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Insufficient Auditing,R,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,Check Manually,Check Manually,Check Manually,Check Manually,,
Potential Weak Protections for Audit Data,R,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect",CR 6.1 and CR 3.4 and CR 2.1,CR 6.2,CR 6.1 RE (1),CR 6.1 RE (1),{target.Name}  and {source.Name} ,
Potential Data Repudiation by {target.Name},R,"{target.Name} claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{source.Name} ,
External Entity {target.Name} Potentially Denies Receiving Data,R,"{target.Name} claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{source.Name} ,
Data Store Denies {target.Name} Potentially Writing Data,R,"{target.Name} claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{source.Name} ,
{target.Name} - Repudiation,R,"Because the {target.Name} is a potentially sensitive medical component, activity logging is strongly recommended for accountability and forensic reasons.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{target.Name} ,
{source.Name} - Outgoing Auditing,R,"Because the {source.Name} sends data to another zone of trust, logging is a necessity for accountability and forensic reasons.",CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,CR 2.8 and CR 2.11 and CR 2.12,{source.Name} ,
{source.Name} - Repudiation,R,"If pushing the emergency stop button causes special expenses (liquid helium release, automatic call to emergency services, etc.), consider using security cameras or snapping a photo of the area near the emergency stop when the button is activated.",Check Manually,Check Manually,Check Manually,Check Manually,,
Syslog Flooding,R,"Be cognizant that attackers may use DoS attacks to cover-up their actions and prevent logging of events.  If high-availability is not a requirement for the product, consider going to a secure default (shutting down) if the syslog server is unable to continue recording events.",Check Manually,Check Manually,Check Manually,Check Manually,,
EMR Repudiation,R,Clinicians may obtain or attempt to obtain information on VIP patients from an EMR that they do not have a medically valid reason to view.  Recommend making a log of requested activity for accountability and forensic reasons.,Check Manually,Check Manually,Check Manually,Check Manually,,
Authorization Bypass,I,"Can you access {target.Name} and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.",CR 2.1 and CR 7.7 and CR 4.1 and CR 1.5 and CR 3.1 and CR 3.4,CR 2.1 and CR 7.7 and CR 4.1 and CR 1.5 and CR 3.1 and CR 3.4,CR 2.1 and CR 7.7 and CR 4.1 and CR 1.5 and CR 3.1 and CR 3.4,CR 2.1 and CR 7.7 and CR 4.1 and CR 1.5 and CR 3.1 and CR 3.4,{target.Name} ,
Data Flow Sniffing,I,"Data flowing across {flow.Name} may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name}  and {source.Name} ,
Weak Access Control for a Resource,I,Improper data protection of {source.name} can allow an attacker to read information not intended for disclosure. Review authorization settings.,CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name}  and {source.Name} ,
Weak Credential Storage,I,"Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored",CR 1.5 and CR 4.1 and CR 4.3,CR 1.5 and CR 4.1 and CR 4.3,CR 1.9 RE (1),CR 1.9 RE (1),{target.Name}  and {source.Name} ,
Weak Credential Transit,I,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.",CR 3.1 and SAR 3.2 and EDR 3.2 and HDR 3.2 and NDR 3.2,CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),CR 3.1 RE (1) and HDR 3.2 RE (1),{target.Name}  and {source.Name} ,
Weak Authentication Scheme,I,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",CR 1.5 and CR 1.7 and CR 1.2,CR 1.8,CR 1.7 RE (1),CR 1.7 RE (2),{target.Name}  and {source.Name} ,
SSH Banner Disclosure,I,The {target.Name} informational banner should not provide unnecessary information about the nature of the system.  Ensue no banner appears until after a successful login.,Check Manually,Check Manually,Check Manually,Check Manually,,
SSH Version 1,I,SSH version 1 is fundamentally vulnerable to man-in-the-middle attacks. Use version 2 instead.,Check Manually,Check Manually,Check Manually,Check Manually,,
HL7 Unencrypted,I,"HL7 does not provide native data encryption.  This is particularly concerning as almost all HL7 messages include PHI.  Take design measures to encapsulate this data in an encrypted tunnel (IPSec VPN, SSH tunnel, TLS, etc).",Check Manually,Check Manually,Check Manually,Check Manually,,
DICOM Data Flow Sniffing,I,"DICOM messages typically include sensitive personal health information.   Data flowing across {flow.Name} may be sniffed by an attacker. Monitoring unencrypted DICOM connections may also reveal the network topology of the hospital, enabling more sophisticated attacks on a hospital network.  Consider using DICOM TLS to encrypt the messages.",Check Manually,Check Manually,Check Manually,Check Manually,,
Ethernet Frame Sniffing,I,Do not transmit private or sensitive information using raw Ethernet frames unless the network is trusted or a higher-level encryption protocol is used.,Check Manually,Check Manually,Check Manually,Check Manually,,
CANBUS Information Disclosure,I,"Unless specific protections are applied, all other devices on the bus are able to read data. Use a different communication protocol if this is not acceptable.",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} Not using Encryption at Rest,I,"PHI is being sent via {flow.Name} to the {target.Name}, which is not using encryption at rest. Attackers may be interested in this information, especially for VIP patients or to commit fraud.  Recommend using encryption at rest for any stored data.",Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} Transmitting Unencrypted PHI,I,The {source.Name} may be transmitting unencrypted Personally Identifiable Health Information to the {target.Name}.  Regulatory requirements (such as HIPPA) likely apply.  Recommend encrypting the data flow to ensure the confidentiality of the data is protected.,Check Manually,Check Manually,Check Manually,Check Manually,,
Physical theft of component communicating via {flow.Name},I,"By physically stealing the {source.Name}, an attacker might exploit ""trust"" of communications via {flow.Name} to gain further access to the overall system.  This is a particularly acute risk for components that communicate via wireless protocols. While designing the system, recommend including methods to revoke access for stolen components with wireless access.",Check Manually,Check Manually,Check Manually,Check Manually,,
{flow.Name} Information Disclosure,I,Raw TCP connections are easily observed while in transit.  Encrypted protocols are generally required.  An acceptable mitigation is using a TLS/SSL wrapper.,Check Manually,Check Manually,Check Manually,Check Manually,,
PACS Information Disclosure,I,"A PACS, by definition, stores large quantities of PHI.   Use encryption at rest to prevent out-of-band access to data.",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} Usage in Public Spaces,I,{target.Name} may show PHI on the display and be used in public spaces.  Options to consider include 1) reducing the visibility of PHI to only authorized users 2) obfuscating private information such as showing only initials instead of a full last name  3) using idle screen savers and minimized data read-outs,Check Manually,Check Manually,Check Manually,Check Manually,,
Out of Band EMR Access,I,"An EMR by definition stores large quantities of PHI.  As a prerequisite to use of a third-party EMR, verify that encryption at rest is implemented to prevent out-of-band access to PHI.",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} Storing PHI,I,"Mixing PHI with general system logs is strictly prohibited, as debug logs are not generally treated with the same level of sensitivity as patient information.  Note that this threat is not applicable if the primary purpose of the log is for repudiation purposes:  for example, a log that indicates a specific clinician accessed a specific patient's data would be appropriate.",Check Manually,Check Manually,Check Manually,Check Manually,,
Potential Excessive Resource Consumption for {source.Name} or {target.Name},D,"Does {source.Name} or {target.Name} take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",CR 7.1 and CR 7.2,CR 7.1 RE (1) and CR 7.3 RE (1),CR 7.6 RE (1),CR 7.6 RE (1),{target.Name}  and {source.Name} ,
Potential Process Crash or Stop for {target.Name},D,"{target.Name} crashes, halts, stops or runs slowly; in all cases violating an availability metric.",CR 7.1 and CR 7.2,CR 7.1 RE (1) and CR 7.3 RE (1),CR 7.6 RE (1),CR 7.6 RE (1),{target.Name},
Data Flow {flow.Name} Is Potentially Interrupted,D,An external agent interrupts data flowing across a trust boundary in either direction.,CR 3.1 and CR 5.1 and NDR 5.2,CR 3.1 RE (1) and CR 4.2 and NDR 5.2 RE (1),NDR 5.2 RE (2),NDR 5.2 RE (2),{target.Name}  and {source.Name} ,
Data Store Inaccessible,D,An external agent prevents access to a data store on the other side of the trust boundary.,Check Manually,Check Manually,Check Manually,Check Manually,,
SSH Credential DoS,D,Check operating system lockout settings to ensure that an illegitimate access attempts over SSH will not cause a lockout to legitimate local users.,Check Manually,Check Manually,Check Manually,Check Manually,,
LDAP Denial of Service,D,Medical devices that use LDAP for authentication may become inaccessible if the LDAP server is attacked.  Recommend providing a backup authentication mechanism if the device is safety critical.,Check Manually,Check Manually,Check Manually,Check Manually,,
Wireless Connection via {flow.Name} to {target.Name},D,{flow.Name}: Medical components connecting via any form of wireless networking must consider radio frequency interference/jamming scenarios.  Components with urgent usage scenarios should consider providing a back-up wired option to avoid scenarios involving wireless jamming.,Check Manually,Check Manually,Check Manually,Check Manually,,
Table Denial of Service,D,"For exam types that use ionizing radiation, causing the {target.Name} to stop working mid-exam could result in unnecessary exposure to radiation and inability of the device to fulfill it's clinical purpose.  Other scenarios to consider:  sending invalid commands that cause the {target.Name} to move beyond appropriate physical limits causing the the table to malfunction.",Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} Burn Out,D,Attackers may attempt to damage or destroy the {target.Name} by tampering with voltage and current settings.  Recommend including physical safeguards to prevent this scenario.,Check Manually,Check Manually,Check Manually,Check Manually,,
{target.Name} Physical Movement Limits Exceeded,D,"Physical safeguards need to be in place to prevent physical damage to {target.Name} if it were commanded to exceed physical limits (for example, running the gantry too quickly or smashing a C-arm into the floor).",Not applicable,EDR 3.11 and HDR 3.11 and NDR 3.11,EDR 3.11 RE (1) and HDR 3.11 RE (1) and NDR 3.11 RE (1),EDR 3.11 RE (1) and HDR 3.11 RE (1) and NDR 3.11 RE (1),{target.Name},
HL7 Denial of Service,D,HL7 can include data that is time-sensitive and critical to care such as heart rate and oxygen level.  Blocking or changing this information can be safety critical.  Provide design mechanisms to mitigate this threat.,Check Manually,Check Manually,Check Manually,Check Manually,,
